komentar,cleaned,sentimen,emosi
Nging hilap balsem geliga na 1hari di olesin 4x pagi siang sore sama malam ya pak rt jangan sampe telat 🙌,nging hilap balsem geliga na hari olesin x pagi siang sore salam pak rt jangan sampe telat,Negatif,Lainnya
Pdhl mukanya kaya org bener 😂,pdhl muka kaya org bener,Netral,Lainnya
Kan udah nikah ya ? Kenapa ga sama yg drmh aja😢,kan udah nikah kenapa ga sama yg drmh aja,Negatif,Sedih
Ngenah mereun nya apem mahasiswa😂,ngenah mereuypeahasisa,Negatif,Lainnya
"selamat jdi santapan salam olah raga, di sel ya.",selamat jdi santap salam olah sel,Negatif,Lainnya
"Gebloh na Kacida sia mah, maehan karir sorangan",gebloh na kacida sia maehan karir,Negatif,Lainnya
mampus udah didalem,mampus udah,Netral,Lainnya
"@Zhaniara00:pny ilmu d salah gunakan,,hrus ny masuk kedoktoren ad tes psikologi yg mndlm utk meminimalisir maniak/hyper dan kelainan s*x lain. y",pny ilmu d salah ny masuedoktoren ad tes psikologi yg mndlm utk meminimalisir maniak hyper lain s x,Negatif,Lainnya
Adab dulu baru ilmu.,adab dulu baru,Netral,Lainnya
"nikah atuh dok, sange tinggal balik ka imah atau pamajikan grab keun ka rs 😂",nikah atuh sange tal balia imah pamajikan grab keun ka rs,Negatif,Lainnya
"Selain korban, gimana jg perasaan istrinya😢",gimana jg perasn istri,Negatif,Sedih
Keluhannya ap ko smpe pasien mw d suntik..setau gw jaman skg kn dokter udh gk kayag dlu yg dkit2 d suntik...🙄😱,keluhayp ko smpe pasien m d tau g jaman skg kn dokter udh gayag dlu yg dkit d,Negatif,Takut
Galfok sama bagian dada mas e...🤦,galfok sama bagi mas,Negatif,Lainnya
"Sekolah mahal"" sampe taunan..hancur gara"" memek..🙌",sekolah sampe hancur,Negatif,Lainnya
Di negara ini siapa lagi yg harus kita percaya ?,negara siapa yg kita percaya,Negatif,Lainnya
Jadi ngeri ke rshs,jadi ngeri,Negatif,Takut
"Cabok online lah sakola saluhur luhur jadi dokter, otak na entot, astaghfirullah.",cabok online lah sakola sa jadi otak na,Negatif,Lainnya
Satpamnya juga tuh harusnya kena tangkep,satpam tuarusnya kena,Negatif,Lainnya
"Cabut gelarna, kebiri sangat wajar nya ceuk urg mah..",cabut kebiri sangat ajar nya ceuk urg,Negatif,Lainnya
Sigana termotivasi film jepang Xxx😂😂,sigana motivasi film jepang x,Negatif,Lainnya
"Wayahna direndos heula ah eta kanyudna, lelepkeun ulekan batu kana liang na",ayahna direndos heulh eta pkeun ulek batu kana liang,Negatif,Lainnya
Model gini byk ka yg mau ngasih gratisan.. lah knp malah mperkaos kakakkak duhh.. kk itu tajir dokter ganteng udah lah byk cewe ngasih gratisan... duhhh duhh duhh,model gin bya yg mau ngasih lah knp malah mperkaos ak tajir dokter ganteng udah lah byk cee ngasih duh,Netral,Lainnya
Itu kenapa dia pake kutang,kenapa pake,Negatif,Lainnya
Dok bnyk ntn flm japanese 😂,dok bnyk ntn flm japanese,Netral,Lainnya
banyakan nonton xxx keknya,banyakaonton x,Negatif,Lainnya
Bukanya lebih bagus ini org diisolasi di penangkaran bu'aya atau kandang Har!mau?,buka lebih bagus org dsolasi tangkar bu aytau kandang har mau,Netral,Lainnya
SUNTIK MATI AJA INI DOKTER BAGONG😂😂😂😂,suntik mati aja dokter bagong,Negatif,Lainnya
"After copit, ternyata fungsi masker jd berubah, tiap ada tersangka selalu dipakein masker, biar apa??",after copiernyata fungsi masker jd tiap sangka selalu dipakein biar apa,Negatif,Lainnya
Dokter lieur astagfirullah,dokter lieur,Negatif,Lainnya
"Jauh-jauh di lembur batur ngadon nyieun kerusakan di lembur batur, jelema teh jahat-jahat teuing😮😮😮",jauh jauh lembur batur ngadoyieun rusa lembur jelema teh jahat jahaeuing,Negatif,Lainnya
Habis di Dlm prodeo,habis dlm,Positif,Lainnya
Asa ku aya aya wae gustiii,asa ku ae,Negatif,Lainnya
Bejad... Naon anu dipikiranna lain sakali wae jigana wilujeng di sel bengep Tah 😡👊,naon dipikiraa sakal ae jigana ilujeng sel bengep tah,Negatif,Marah
Untuny ga ambil specialis Sp.og..yg ada emak2 hamil pas mau USG di ubek2 mulu,untuny yg emak hamil pas masg ubek,Negatif,Lainnya
Bukannya pelakunya 2 orang ya? Yg ditangkep kok cuma 1 doank?,bukaya laku orang yg ditangkep kok cuma doank,Negatif,Lainnya
Karunya pamajikan atuh dok,karu pamajikan atuh,Netral,Lainnya
"Si rujit ngerakeun UNPAD, buka atuh maskerna!",si rujit buktuh maskerna,Negatif,Lainnya
Sepertinya terinspirasi film JAV,seperti inspirasi film,Netral,Lainnya
Sgitu bnyak orang gak da yg pngen nabok??😂,sgitu bnyak oranak da yg pngeabok,Negatif,Lainnya
ganteng ganteng ga ada otak nya🗿🗿,gda otak nya,Negatif,Lainnya
"diluar nurul kalakuan ,, teu surup jeung raray",luar nurul surup jeung,Negatif,Lainnya
"itu nanti pas dipenjara, kira² diapain ama napi laen?",nanti pas kira diapain ama napi laen,Netral,Lainnya
Podaran tuman!!,podaran tuman,Netral,Lainnya
Katanya ini korban lgi nungguin bapaknya yg dirawat trus kabarnya bapaknya meninggal bener ga si?,kata korban lgi nunuin bapak yg diraarus kabar bapak tal bener ga si,Netral,Lainnya
Kasian korban😢,kasi korban,Negatif,Sedih
Nauzubillahi mindzalik semoga anak2ku dan keluargaku di jauhkan dari segala marabahaya dan fitnah amin yra,nauzubiahi mindzalik semognakku keluarga jauh segala marabahaya fitnah amin,Netral,Takut
Duuhh bersih kneh rarai na,d bersih kneh i,Negatif,Lainnya
teu kiat dok ningali wargi bandung mah nya😂😂😂 kacida pisan dok ahhh,teu kiat dok ningali argi bandung mah nya kacida pis dok,Negatif,Lainnya
Kebiri ajaaa strees tuh orangg🤮,kebiri aja strs tuh oran,Negatif,Lainnya
Ga ada yang jambak itu teh? Atau dudut calanana sina di poto tah barang jahanam manehna,gda jambak teh t cala sina poto tah barang,Negatif,Lainnya
Kasian istrinya lah...,kasi istri,Negatif,Lainnya
"Pembangunan ilmu tampa diiringi pembangunan karakter akibatnya jalan menuju kehancuran. Perguruan Tinggi harus melakukan pembangunan karakter mahasiswa, dosen, pimpinan, dan staf.",bangun ilmu tampa dringi bangun karakter akibat jalan tuju guru tin laku bangun karakter,Negatif,Lainnya
"Wkwk mchc nya jd paramater lab dong, hadeh sekelas media gini tabayunnya google apa chatgpt ini",mchc nya jd paramater lab hadeh kelas media gin tabayuya ggle apa chatgpt,Negatif,Lainnya
Oo ini tah yg di maksud co @sansanchocochip 😮😮,tah yg maksud co,Negatif,Lainnya
Kuduna teang jeung satpamna oge curiga miluan anjir,kuduna teang jeung satpamna oge curiga,Negatif,Marah
Itu kok dadanya kek ada yg nongol yaa,kok nya kek yg nongol,Negatif,Lainnya
Ya allah dihukum mati ya,yah dihukuati,Negatif,Lainnya
Cik teke lah hulu na,cik teke laulu,Negatif,Lainnya
“Masih mulus itu “,masih mulus,Negatif,Lainnya
"Hancur segala"" nya akibat ulah sendiri",hancur nykibat ulah,Negatif,Lainnya
"Ngeri, ini kaya di film2 dokter",ngerni kaya film,Negatif,Takut
"Mas, gak pake BH tah???",gak pake bh tah,Negatif,Lainnya
Kela emng alalki aya suduan nu anyar mentis kneh kt?,kela emng ki aya suduau anyar mentis kneh kt,Negatif,Lainnya
Kulit we bodas ngan hatena hideung 😭 naon nu dirasa @anisasoleha10,kulit e bodas ngan hatena hideung naou rasa,Negatif,Sedih
"Sekolah malah"" ujung""nya diem di penjara jg",sekolah nya diem penjara,Negatif,Lainnya
jd atut ke rumah atit,jd atut rumah,Netral,Lainnya
Beunget siah anjing jahanam,beunget siah anjing,Negatif,Lainnya
"eweuh otakan sumpah, teu kabayang jelema gering eta pasien masih keneh otak na kana hnct goblok goblokkk",eeuh otak teu kabayang jelema gering eta pasien keneh otak na kana hnct,Negatif,Lainnya
Geus teu kuat hyg taeun cigana gawe wae duh,geus teu kuat hyg taeun cigana gae ae,Negatif,Lainnya
Sebahenol apa sih dok korban nya sampe kakituna 😢,bahenol apa sih doorbaya sampe kakituna,Negatif,Sedih
Wartawan ga ada yang bawa batu gituh,arta gda baa batu,Negatif,Lainnya
Ari satpam na kumaha min eta anu babangus na teu di jaga ka korban pas dina lif na?,ari satpam na maha min etnu ngus na teu jaga ka korban pas dina lif na,Negatif,Lainnya
Udah enak2 jadi dokter. Ckckck,udah enak jadi,Netral,Lainnya
"Syg banget biayanya buat kuliah😢 satpamnya dong @rshs_bandung itu di tindaklanjuti. Perbuatannya juga tdk menyenangkan, mengolok2 korban🫵",syg banget biaya buat kuliah satpam dong di perbuataya tdk olok korban,Negatif,Sedih
Ko dia ada tetenya anjir,ko dida,Negatif,Marah
Padahal di michat bnyak bang yg 300rebuan knpa sih harus merkaos anak org😢😢,padahal michat bnyak bang yg rebu knpa siarus merkaos anak org,Negatif,Sedih
Acan ditenggelan bro?,acan ditenelan bro,Negatif,Lainnya
Ngapain dikasih masker sih elah,ngapain kasih masker sih,Negatif,Lainnya
Tah oknum dokter model siga kieu anu osok menyalah gunakan propersi. Menyangkut masalah d rs eta sok inget deui 😢,tah oknum dokter model siga kieu osok salah guna sangkut masalah d rs eta sok inget deui,Negatif,Sedih
Eman eman orgtuamu nyekolahin tinggi2.. Mending dananya buat anak gw sekolah 😆,orgtuamu nyekolahin mending dya buat anak g sekolah,Negatif,Lainnya
Teu lebar Kitu eta sakola Lila Lila Ngan sukur rek kieu mah,teu lebar kitu eta sakola ngan sukueieu,Negatif,Lainnya
Syaiton ge minder ku didinya!!,syaiton ge minder ku nya,Negatif,Lainnya
apa yang dirasa dok? kuliah kedokteran mahal susah susah endingnya malah dipenjara.. yaallahhhh akuuuu yang ga kesampaian kuliah kedokteran ngeliat berita ini miris banget.. sia sia banget dokter karirnya hancur seketika 👏😧😧😧,apa rasa dok kuliah dokter mahal endingnya malah ak yana sampai kuliah kedokterageliat berita miris banget dokter karirnya hancur ketika,Negatif,Lainnya
"Emut mang dilebet duit maneh moal guna,nyanggakeun pak RT. Waktunya bersenang senang",emut mang dilebet duit maneh moal pak aktunya,Netral,Lainnya
@kodariahcucu buu ini bener? 😢😢,b bener,Negatif,Sedih
Sianyink naon nu dirasa pdhal siga nu gantng awak ge mulus tinggal supak sepik we ka awewe ge pasti bisa komo jng gelar dokter mah cetek .. kdon hyg merkosa boa ediii .. dr sp.hnct,sianyink naou rasa pdhal siga nu gantng aak ge mulus tal supak sepik e k ge bisa komo jnelar dokter mah kdon hyg merkosa boa dr,Netral,Lainnya
Gebugan Hela atuh king,gebugan heltuh,Negatif,Lainnya
Tonjokkkk heula att beungeutttt na mang,tonjo heul beungeu na,Negatif,Lainnya
Gusti lebar sakola dokter mahal2,gusti lebar sakola dokter,Negatif,Lainnya
Masi mulus kata wartawan😂,mas mulus kata arta,Netral,Lainnya
Dr model begini yg mengerikan kl menurut saya,dr model begini yg keri kl,Negatif,Takut
Bukan nya dokter mah udah d sumpah ya 😢😢😢 apalagi dokter kandungan ngobok2 v😢,bukaya dokter mah udah d sumpah dokter kandungagobok v,Negatif,Sedih
"Mau jajan kan bnyk aplikasi, ngloco kan jg bisa. Nggilani 😢",mau n kan bnyk ngloco kan jg nilani,Negatif,Sedih
"SUMPAH DOKTER, SUMPAH PEJABAT INDONESIA, KALAH SAMA LENDIR....",sumpah sumpah jabat kalah sama,Negatif,Lainnya
Bloon bener😂,bln bener,Positif,Lainnya
Dokter gblk anj loba teuing ngabokef bngst,dokter gblk anj loba teuiabokef,Netral,Marah
Sigana loba korban na lain eta hungkul 😢,sigana loba korbaa eta hungkul,Negatif,Sedih
"Jangan-jangan udah banyak korbannya ini yg ketauan, biasanya yg beginian abis di ""lahap"" senior didalam sel.",jangan jangan udah banyaorbaya yg biasa yg begini abis senior dalam,Negatif,Lainnya
beak di jero iyeu ma siap siap ambeyen we wkwkwkwkwkkw,beak jero iyeu ma ambeyen e,Negatif,Lainnya
Siap² saja di dalam hotel prodeo nya.....,siap di hotel prodeo,Netral,Lainnya
dokter da mun neangan nu gelis g moal hese komo pi pamajikabeun mh era atuh dok😂,dokter da mueangau gel g moal hese komo pi pamajikabeun mh ertuh dok,Negatif,Lainnya
Naudzubillah... padahal dr rupana teu goreng 2 teuing..😢,padahal dupana teu goreng,Negatif,Sedih
Dokter sakit jiwa,dokter sakit,Netral,Lainnya
Kasus beginian biasa nya klo udah masuk lapas jd samsak hidup… salam olahraga..!!! 🔥,kasus begini biasa nya klo udah masuk lapas jd samsak hidup salam,Negatif,Lainnya
Mba yg jilbab baju hitam plis jngn terlalu dekat2 nanti kepelet,mba yg jilbaaju hitam plis jngn terlalu dekat,Negatif,Lainnya
"Ppds??? UNIVERSITAS E DICEK,, KOK BISA SPESIALIS JALUR APA???😮",ds universitas e spesialis jalur apa,Netral,Lainnya
Mending jajan atuh pak dokter 😂,mending n atuh pak dokter,Negatif,Lainnya
Ya Allah cakep cakep nikah aja atuh,yah nikah,Negatif,Lainnya
Ieu mah fetish sigana. Sange ningali nu di bius,ieu mah fetish sange ningali nu,Negatif,Lainnya
Coba cik hukum na sbrh tahun ? 😂,coba cik hukum na sbrh tahun,Netral,Lainnya
Lain nikah atuh pak dokter...malah pelecehan ..sekolah tinggi malah di BUI,lai atuh pak malah sekolah tin malah,Negatif,Lainnya
"Ganteng,glowing,dokter muda,pinter,cerdas,jenius diatas rata2 tapi keleh euy teu bisa ngendalikeun nafsu teu kudu merkosa ge loba nu daekeun mereun da kasep loba uit🫣",rata keleh euy teu ngendauafsu teu kudu merkosa ge loba nu daekeun mereun da kasep loba uit,Netral,Lainnya
"Wajah ok, body ok, profesi ok…..kl loe ngajak merid ce, blm loe tny psti dah mau si cewek. Tp apalah yg loe buat itu😢",ajah body profesi ok koe ngajak merid blm loe tny psti dah mau si tp apa yg loe buat itu,Netral,Sedih
"Biasanya hbis sih disell klo pemerkosaan, cuma ga tauu kalo sogokannya kenceng",biasa hbiih dise klo cuma ga ta kalo sogokaya,Negatif,Lainnya
"Keknya dia pengen jajan tapi uangnya semua dikasi ke bininya, jadinya pake kedudukan dia buat main gratisan 😢😂",kek ken n uang semua kasi jadi pakan buat main gratis,Negatif,Sedih
Org berduit pdhl yaa 😢,org duit pdhl y,Negatif,Sedih
Satpam yang meledek korban?,satpam meledeorban,Negatif,Lainnya
salfok sama dia kok punya TT 😂,salfok sama kok punya,Negatif,Lainnya
Pakai masker buat apa? 😡,pakai masker buat apa,Negatif,Marah
Dia belum sadar sebab efek obat bius yg berlebihan karna percobaan bundir . Ini posisi masih ngefly kyanya,belum sadar efek obat bius yg lebih karna percobn po ngefly,Negatif,Lainnya
"Apa aku yg salah fokus yah, kayak ada yg nonjol di dada",apku yg salah fokus kayak yg nonjol,Negatif,Lainnya
Kasep2 kalakuan Bejad.. Gelar dokter kalakuan kotor.. 😂😂siap2 di Riung bergilir pantat nya dijebol dipenjara😂,kasep kalakuan gelar dokter kalakuan siap riung gilir pantat nya jebol penjara,Negatif,Lainnya
"Cape2 kuliah abis ratusan juta, langsung ilang lisensi cuma krna napsu👏🏻👏🏻",cape kuliah abis ratus langsung ilang lisensi cuma krpsu,Negatif,Lainnya
kok pada bisa tahan buat ngga nabok sih yang di situ? 😌,kok bisa tahan buat na nabok sih di situ,Netral,Lainnya
Lah emg ga ad suster yg nemenin??,lah emd suster yg nemenin,Negatif,Lainnya
Jadi Film geraaaa🔥,jadi film ger,Negatif,Lainnya
Waduh knp byk yg sakit jiwa ya 😢😢😢,aduh knp byk yg sakit jia,Negatif,Sedih
"Mau heran, tapi dunia sudah mau kiamat 😢",mau dunia mau kiamat,Negatif,Sedih
"Eh salfok, ko dia ada tt nya?😢",eh salfoo dida nya,Negatif,Sedih
Infonya...Ayah Korban yg di ICU gimn kabarnya?,ayah korban yg dcu gimn kabar,Negatif,Lainnya
"Ada ada aja ya, kerjaan bagus, gelar sarjana udah di dpt susah payah, sdh berkeluarga istrinya cantik bgt, msh aja ada bae kelakuan tingkah laku nya",aja kerjn gelar sarjana udah dpt susah sdh keluarga istri cantik msh ajda bae laku tingkah laku,Netral,Lainnya
Harusnya maskernya dilepas tuh biar ketahuan jelas mukanya,harus masker lepas tuh biar tahu jelas,Negatif,Lainnya
Eman2 temen sekolah mu pak....hanya krn kesenangans sesaat..😢,eman temen sekolah mu krn,Negatif,Sedih
"Masih mulus itu, Bony okinlah.",mulus bony,Negatif,Lainnya
ko ada tt nya?,ko nya,Negatif,Lainnya
Walileuw kitu bengeutna ge,alileu kitu bengeutna,Negatif,Lainnya
ko bisa sih ga habis pikir,ko sih ga habis,Netral,Lainnya
Kunaon ai sia dokter.. Michat loba awewe jualan,kunaon ai sia michat lob,Netral,Lainnya
Kadie gebugan hela atuh si kunyuk tehh,kadie gebugan heltuh si kunyuk,Negatif,Lainnya
"Lebar pak ladang nyakolakeun luhur2 kolot seep ratus2 juta pek teh Ngan bisa kieu, sugan NU nyakola luhur mah bakal leuwih berbobot otakna",lebar pak ladang nyakolakeun luhur kolot sp ratus juta pek teh ngan sugau nyakola luhur mah bakaeuih bert,Netral,Lainnya
Asa lebar kuliah mahal mahal,asa lebar kuliah,Netral,Lainnya
Padahal tinggal nyewa cwe yg mau dibayar aja,padahal tal nyea ce yg mau bayar,Negatif,Lainnya
"Leboook tah, ngacengan sih 😂🤣 pdhl hayang mah, meuli diluar, beak we karir ges cape² sakola teh 😂",lebok ngacengan sih pdhl hayang meuli beak e karir ges cape sakola teh,Negatif,Lainnya
"yes, reporter do your job pls make him feel the worst person on earth",reporter do your job pls make him fl the orst pers,Positif,Lainnya
pdhal kalau cara baik2 lu laku,pdhal kalau cara baik lu,Netral,Lainnya
"Ya Allah pak Dokter... gw sama anak gw kepengen2 jadi dokter, tp berhubung biaya nya berat, harus kami singkirkan cita2 itu, kamu udh diberi kesempatan sama Allah buat jd org yg bermanfaat buat banyak org, malah memanfaatkan ilmunya buat hal yg diluar nurul... kurang bersyukur...",yah pak g samnak g ken jadi tp hubung biaya nya kami singkir cita kamdh beri sempat samah buat jd org yg bermanft buat banyak malah memanftkan ilmu buat yg luar kurang,Netral,Lainnya
Kirain cuma dokumenter netflix yang kelakuan dokter aneh aneh huhu,kirain cuma dokumenter netflix laku dokter,Negatif,Lainnya
"Ganteng tinggi putih,apa harus memerkosa pak? Beli aja beli ngapa 😂",ganteng tin rkosa pak beli aja beli ngapa,Negatif,Lainnya
parahnya dia udh nikah anjir kasian istriny,parah udh nikah anjir kasi,Netral,Marah
Ges we ulah dikaluarkeun Tina sel percuma kalah ngaherinan🙏,ges e ulah dikaluarkeun tina sel percuma kalah ngaherinan,Negatif,Lainnya
"Kasian korban nya ,hukum seberat² nya!",kasi korbaya berat nya,Negatif,Lainnya
Td gua kira dia make leging,td gua kira make,Negatif,Lainnya
suntik mati weh nukieu mah,suntik mati eh nukieu,Negatif,Lainnya
Istrinya gmn y,istri gmn,Negatif,Lainnya
Itu cwok? Koq itu nya gede kek cwk😁,cok koq nya gede kek ck,Negatif,Lainnya
"Padahal kasep benghar , Naha kudu merkosa ,awewe pabalatak hayang ewean mah , moal burung daraeken , Komo titel dokter",padahal kasep benghar kudu merkosa pabalatak hayang eean mah burung daraeken titel,Negatif,Lainnya
Ketika masuk kedokteran pake duit bukan pake otak,masuedokteran pake duit bukan pake,Netral,Lainnya
suruh pake miniset atau sport br4 lah 😭,suruh pake miniset sport br lah,Negatif,Sedih
Kok tumben wartawan gak nempeleng kepala tersangka,kok tumben arta gak nempeleng kepala,Negatif,Lainnya
Kek gini yg sekolahnya hasil nyogok,kek gin yg sekolah hasil,Negatif,Lainnya
"Sekolah mahal²,..eman eman😂",sekolah mahal,Negatif,Lainnya
RShs banyak calonya,rshs banyak,Netral,Lainnya
Knp ga sewa jablay aja kalo gakuat,knp ga sea jablay aja kalo,Negatif,Lainnya
Jangan2 bukan baru x ini aja,jangan bukan baru x,Negatif,Lainnya
"Ilmu tanpa adab ya begini , ancur cacad maneh",ilmu tanpdab begini d,Negatif,Lainnya
Jadi pgen tau korban dokterx apa smpek Setega itu 😮,jadi pgen tau korban dokterx apa smpek tega,Negatif,Lainnya
"Rupa"" we ari jelma dokter suka ngodok"" 😮astagfirllah",e ari jelma dokter suka,Netral,Lainnya
"Demi joni yg seupil itu, kau rela menghancurkan semuanya dok😢",joni yg upil kau rela hancur semua dok,Negatif,Sedih
Hukummm berlipat ganda niiih,hukum lipat ganda,Negatif,Lainnya
😂😂😂 akan dapet hal yang lebih nanti di penjara...,dapet yang lebih di,Negatif,Lainnya
Lu kan dokter bang,lu kan dokter,Negatif,Lainnya
"Klo ttp bisa jd dokter pastinya gawat, soalny mainnya bius",klo p jokter pasti soalny maiya,Netral,Lainnya
